label,text
spam,"Earn cash by watching videos online! Get paid $10 per video you watch. Sign up for free and start earning today!"
ham,"Great news — the funding application was approved! We can now move forward with phase 2 of the project."
spam,"ORDER NOW and receive a complimentary gift worth $200! Today only. Add to cart and use code FREEGIFT at checkout."
ham,"Just wanted to check in after your presentation. You did an excellent job handling the tough questions at the end."
spam,"Millions of people use our system to generate passive income. Join today and receive your first check in 7 days!"
ham,"The school's annual fundraiser will be held on the 15th. We'd love volunteers to help set up from 8 AM onward."
spam,"CLAIM YOUR PRIZE: You've been randomly chosen to receive a $1,000 Walmart gift card. Verify now to receive it."
ham,"I'm looking into options for the team offsite. Do you have any venue suggestions? Thinking somewhere with good AV."
spam,"Our new miracle cream eliminates wrinkles in just 7 days! Used by Hollywood celebrities. Try risk-free today."
ham,"The system maintenance window tonight may cause brief service interruptions between 2 and 4 AM. Plan accordingly."
spam,"Congratulations, you've been selected for our exclusive online survey! Complete it and earn $500 instantly."
ham,"Running a bit late to the meeting — please start without me and I'll join in about 10 minutes. Sorry about that."
spam,"UNCLAIMED FUNDS: The government owes you a refund! Claim your $3,200 stimulus check before December 31."
ham,"The venue for the wedding has been booked! We're so excited. Save the date for June 14th. Formal invite to follow."
spam,"Your computer performance is degraded! Download our free optimizer and speed up your PC by 300% instantly."
ham,"Please review the updated terms of service that go into effect on the 1st of next month and acknowledge receipt."
spam,"MAKE BIG MONEY FAST! Our automated trading robot trades 24/7 and earns thousands per week. Try it free now!"
ham,"It was great running into you at the conference! Let's stay in touch. I'd love to collaborate on a project sometime."
spam,"WIN FREE GROCERIES FOR A YEAR! Take our 30-second survey and you could win a $5,000 supermarket gift card."
ham,"The weekly sales report is ready. Numbers are looking strong for Q3 — up 12% compared to the same period last year."
spam,"Your phone number has been selected to receive a brand new Samsung Galaxy S24. Claim it now before it's reassigned."
ham,"Hope the interview went well! I heard back from a few candidates and I think we have some strong options to discuss."
spam,"PHARMA DEALS: Buy generic prescription medications at unbeatable prices. No prescription needed. Shipped worldwide."
ham,"I've uploaded the latest version of the presentation to the shared drive. Let me know what you think of the new layout."
spam,"Alert: Your streaming service will be charged $49.99 today. To cancel, click here and verify your payment details."
ham,"The mentorship program applications are now open. If you're interested in being a mentor or mentee, apply by Friday."
spam,"Guaranteed approval on personal loans up to $35,000 regardless of credit history. Apply online in minutes!"
ham,"The department retreat has been confirmed for the 22nd. It'll be a full day starting at 9 AM. Lunch will be provided."
spam,"Your Dropbox storage is full! Upgrade now and get 2TB of cloud storage for free for the first 3 months."
ham,"Thanks for the birthday wishes everyone! I had a fantastic day. Looking forward to seeing you all at the party Saturday."
spam,"HIDDEN CAMERA FOOTAGE: Click to watch what your neighbors are doing. You won't believe what's on this video."
ham,"The client has requested a follow-up call next Tuesday. Can you share your availability so I can send an invite?"
spam,"Your email account will be deactivated in 24 hours due to inactivity. Click here to keep your account active."
ham,"We've been accepted to present at the industry conference in March! This is a great opportunity for visibility."
spam,"Free credit score check! See your score instantly and get matched with the best loan and credit card offers."
ham,"The IT department will be rolling out software updates this Friday evening. Please save your work before leaving."
spam,"You could be owed PPI compensation! Find out how much you're owed in just 2 minutes. No win no fee guaranteed."
ham,"The neighborhood association meeting is this Thursday at 7 PM at the community center. Hope to see you there!"
spam,"INVESTMENT ALERT: This little-known stock is about to explode 1000%! Buy now before Wall Street finds out."
ham,"Your insurance renewal is coming up next month. I'll send over the updated quote for you to review this week."
spam,"LAST CHANCE: Your free gift is about to expire! Click now to claim your complimentary set of kitchen knives."
ham,"The interns did an outstanding job on their final presentations. We should think about hiring a few of them full-time."
spam,"Disabled veterans need your help! Donate just $19/month and receive a free tote bag as our gift to you."
ham,"I've scheduled a 1-on-1 for next Wednesday to go over your career goals and performance objectives for next year."
spam,"Your Amazon account has been compromised! Verify your identity immediately to prevent unauthorized purchases."
ham,"The budget for the event has been approved. We have $8,000 to work with, which should be more than enough."
spam,"EARN FROM HOME: Get paid $25 per hour to post on social media. No experience needed. Start immediately!"
ham,"Just finished the first draft of the article. I think it's in pretty good shape. I'll send it over for your edits."
spam,"You've been pre-qualified for a platinum credit card with a $25,000 limit and 0% APR for 18 months!"
ham,"The recycling program starts next month. Please separate paper, plastic, and glass in the designated bins."
spam,"Cheap auto insurance! Save up to 40% on your car insurance. Get a free quote in just 60 seconds. Call now!"
ham,"I'm so proud of you for finishing your degree! You worked incredibly hard for this. The celebration is well deserved."
spam,"WARNING: Your browsing history has been recorded by hackers. Pay $500 in Bitcoin or we will share it with everyone."
ham,"We've completed the security audit and no major vulnerabilities were found. A summary report will be sent out Monday."
spam,"Join our pyramid scheme and earn thousands by recruiting friends. Guaranteed income, no work required. Sign up now!"
ham,"The annual company picnic is scheduled for July 20th. Families are welcome. More details will follow next week."
spam,"MEGA JACKPOT: $45,000,000 lottery result. Your ticket number is a winner! Contact us to claim your winnings."
ham,"Could you share the login credentials for the analytics platform? I need to pull some data for the monthly report."
spam,"Special offer: get a free psychic reading from our expert astrologers. Discover what the stars have in store for you!"
ham,"The onboarding session for new hires is scheduled for Monday morning. Please make sure the welcome materials are ready."
spam,"AMAZING DEAL: Get Disney+, Netflix, and Hulu all for just $4.99/month! Limited time bundle offer. Sign up now."
ham,"We've received the signed contracts from the client. Everything is in order and we're good to kick off the project."
spam,"Your inheritance is waiting! A relative you never knew about has left you $4,200,000 in their estate. Contact us now."
ham,"The new office kitchen rules are posted on the fridge. Please keep the space clean and label your food items."
spam,"Get paid to take surveys online! Earn $200 to $500 a week from home in your spare time. Register for free today."
ham,"Looking forward to our team dinner tonight! The reservation is at 7:30 PM at Rosario's. See everyone there."
